NR_CANDIDATO;NR_PARTIDO;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;CD_GENERO;CD_GRAU_INSTRUCAO;CD_ESTADO_CIVIL;VR_DESPESA_MAX_CAMPANHA;ST_REELEICAO;Resultado
3113;31;0;58;2;8;1;2500000;0;3
5011;50;0;49;4;6;1;2500000;0;4
5000;50;1;27;2;7;1;2500000;0;4
5130;51;0;30;4;8;1;2500000;0;4
7700;77;0;36;2;8;3;2500000;0;3
5109;51;0;70;2;8;1;2500000;0;4
4444;44;0;35;2;8;1;2500000;0;4
3003;30;0;40;2;8;1;2500000;0;4
1011;10;0;57;4;6;3;2500000;0;3
1311;13;0;30;4;8;3;2500000;0;1
5555;55;0;41;2;8;3;2500000;1;2
5051;50;0;55;2;6;1;2500000;0;4
6555;65;0;57;4;8;3;2500000;0;3
5120;51;0;36;4;6;9;2500000;0;4
3000;30;0;41;4;8;3;2500000;0;4
2846;28;0;76;2;6;5;2500000;0;4
6510;65;0;23;4;7;1;2500000;0;3
2855;28;0;38;2;6;3;2500000;0;4
2860;28;0;44;2;6;3;2500000;0;4
5444;54;0;28;2;8;1;2500000;0;4
3010;30;0;33;2;8;3;2500000;0;4
5566;55;0;51;2;8;1;2500000;0;4
2890;28;1;38;4;6;1;2500000;0;4
3111;31;0;58;4;6;3;2500000;0;3
1900;19;1;40;2;8;3;2500000;0;3
2810;28;0;58;2;6;3;2500000;0;4
1322;13;1;40;4;8;1;2500000;0;3
6500;65;0;54;2;8;3;2500000;0;3
7744;77;0;57;2;6;3;2500000;0;3
3666;36;0;52;2;8;3;2500000;0;1
5177;51;0;39;4;6;3;2500000;0;4
5111;51;0;53;2;4;3;2500000;0;4
1515;15;0;58;4;8;9;2500000;0;3
5050;50;0;36;2;8;3;2500000;0;4
3100;31;0;35;4;6;3;2500000;0;3
1333;13;1;62;2;8;1;2500000;0;3
2811;28;0;35;2;6;1;2500000;0;4
7790;77;0;35;4;8;1;2500000;0;3
2828;28;0;34;2;6;1;2500000;0;4
1511;15;0;38;2;8;3;2500000;1;1
2018;20;1;56;2;8;9;2500000;0;3
5122;51;1;37;2;6;1;2500000;0;4
7753;77;0;25;4;7;1;2500000;0;3
5023;50;0;42;2;8;1;2500000;0;4
1144;11;0;32;4;8;9;2500000;0;3
5013;50;0;45;2;6;3;2500000;0;4
2822;28;0;42;2;6;3;2500000;0;4
5024;50;0;57;4;8;9;2500000;0;4
5033;50;0;53;4;8;9;2500000;0;4
2800;28;0;30;4;6;1;2500000;0;4
2884;28;0;59;2;6;1;2500000;0;4
2845;28;0;48;4;6;1;2500000;0;4
1933;19;0;45;4;8;3;2500000;0;4
2844;28;0;27;4;6;1;2500000;0;4
1222;12;0;51;2;7;3;2500000;0;3
2323;23;0;56;2;8;3;2500000;0;3
5107;51;0;40;2;4;1;2500000;0;4
2222;22;1;65;2;8;3;2500000;0;1
1801;18;0;37;2;8;3;2500000;0;4
2840;28;0;38;4;7;9;2500000;0;4
1313;13;0;44;2;8;3;2500000;0;3
5022;50;0;29;4;4;1;2500000;0;4
1818;18;1;40;2;8;3;2500000;0;4
1777;17;1;63;2;8;3;2500000;0;1
1344;13;0;50;2;5;1;2500000;0;3
2929;29;0;23;2;6;1;2500000;0;4
