NR_CANDIDATO;NR_PARTIDO;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;CD_GENERO;CD_GRAU_INSTRUCAO;CD_ESTADO_CIVIL;VR_DESPESA_MAX_CAMPANHA;ST_REELEICAO;RESULTADO
16001;16;0;23;4;7;1;10000;0;4
50500;50;0;40;2;8;3;100000;0;4
20222;20;0;59;2;6;3;2000000;0;3
51222;51;0;45;4;6;3;2500000;0;3
45333;45;0;39;4;6;1;2000000;0;3
55123;55;0;75;2;8;3;1500000;0;1
33777;33;0;49;4;6;3;1500000;0;3
55444;55;0;22;4;7;3;1500000;0;3
31000;31;0;44;2;8;3;500000;0;1
44444;44;0;27;2;6;1;1500000;0;3
20400;20;0;39;4;6;9;2000000;0;3
70000;70;1;37;4;4;9;500000;0;3
36111;36;0;49;2;5;3;1000000;0;3
45888;45;0;39;2;8;3;2000000;0;3
55680;55;0;49;2;6;9;1500000;0;3
43443;43;0;53;4;8;3;1000000;0;3
90888;90;0;51;2;8;3;2000000;1;1
70333;70;0;36;4;6;9;500000;0;3
45111;45;0;48;2;6;3;2000000;0;3
33345;33;0;51;4;4;1;1500000;0;3
23333;23;0;49;2;6;1;2000000;0;3
31123;31;0;33;4;4;1;500000;0;3
13133;13;1;45;2;8;3;800000;0;3
27999;27;1;56;2;8;9;1500000;0;3
13613;13;0;47;4;8;1;800000;0;3
50223;50;0;51;2;5;3;100000;0;4
13413;13;1;50;4;6;1;800000;0;3
33355;33;0;48;4;6;1;1500000;0;3
65678;65;0;42;2;8;3;400000;0;3
40222;40;0;37;2;8;1;2000000;0;3
77123;77;0;42;2;8;1;2000000;0;1
90222;90;0;72;4;6;5;2000000;0;3
65000;65;0;24;4;5;1;400000;0;3
55888;55;0;44;4;6;5;1500000;0;3
15212;15;0;42;2;8;3;2000000;0;3
25000;25;0;50;2;8;3;3000000;0;3
50789;50;0;49;4;8;3;100000;0;4
31234;31;0;33;4;8;3;500000;0;3
50333;50;0;66;2;8;9;100000;0;4
27000;27;0;50;2;6;3;1500000;0;3
51234;51;0;36;2;7;1;2500000;0;3
31147;31;0;57;2;2;9;500000;0;3
43223;43;0;36;4;6;1;1000000;0;3
15444;15;0;48;2;8;3;2000000;0;3
43100;43;0;49;2;7;9;1000000;0;3
55555;55;0;45;2;8;1;1500000;0;1
50750;50;0;42;2;6;1;100000;0;4
15678;15;0;47;2;7;3;2000000;1;1
50125;50;1;53;2;6;3;100000;0;4
65131;65;0;52;2;8;3;400000;0;3
31110;31;0;40;2;6;3;500000;0;3
13999;13;0;56;2;8;3;800000;0;3
31333;31;0;58;2;2;3;500000;0;3
15222;15;0;58;2;6;3;2000000;1;1
15100;15;0;52;2;8;9;2000000;1;1
11110;11;0;57;2;8;3;1500000;0;3
15190;15;0;54;4;6;1;2000000;0;3
31313;31;0;34;2;8;1;500000;0;3
25555;25;0;63;4;8;5;3000000;0;3
31991;31;1;50;4;4;3;500000;0;3
27777;27;0;63;2;8;3;1500000;0;3
12102;12;0;46;4;6;1;2000000;0;3
43777;43;0;57;4;6;1;1000000;0;3
65123;65;0;55;2;8;3;400000;0;3
36333;36;0;41;4;6;1;1000000;0;3
50000;50;0;34;2;8;3;100000;0;4
31007;31;0;34;2;8;3;500000;0;3
50111;50;0;50;2;6;1;100000;0;4
40123;40;0;56;2;6;3;2000000;1;1
22222;22;0;36;2;8;3;1000000;1;1
14222;14;1;44;2;8;3;1000000;0;3
16123;16;1;61;2;8;3;10000;0;4
13201;13;1;54;4;6;9;800000;0;3
77000;77;0;28;4;6;3;2000000;0;3
65333;65;0;59;2;2;1;400000;0;3
50555;50;0;60;4;8;9;100000;0;4
23123;23;0;29;4;8;1;2000000;0;3
31888;31;0;24;2;7;1;500000;0;3
15456;15;0;24;4;8;1;2000000;0;3
20000;20;0;43;2;6;3;2000000;0;3
13888;13;0;42;2;7;3;800000;0;3
12123;12;0;78;2;2;3;2000000;1;1
44000;44;0;53;2;6;3;1500000;0;3
13666;13;1;58;2;8;1;800000;1;1
31985;31;0;37;4;2;3;500000;0;3
44222;44;0;51;2;6;1;1500000;0;3
65789;65;1;36;4;6;3;400000;0;3
90123;90;0;31;2;6;3;2000000;0;3
55999;55;0;48;4;6;3;1500000;0;3
27333;27;0;49;2;4;3;1500000;0;3
51000;51;0;50;2;6;1;2500000;0;3
43222;43;0;37;2;6;3;1000000;0;3
31111;31;0;48;2;2;3;500000;0;3
50222;50;0;44;2;7;3;100000;0;4
31456;31;0;53;2;2;3;500000;0;3
50567;50;0;50;4;6;9;100000;0;4
12888;12;1;53;2;6;9;2000000;0;3
25110;25;0;71;2;8;3;3000000;1;1
33144;33;0;48;2;8;3;1500000;0;3
13123;13;1;44;2;6;3;800000;0;3
10777;10;1;53;4;8;1;1500000;0;3
44555;44;0;42;2;8;1;1500000;0;3
33333;33;0;45;2;8;3;1500000;0;3
